taxon_name,taxon_name_acc,species_name_acc,list,comments,taxon_type,taxon_acc_type,source_note,taxon_name_with_author,taxonomic_source,taxonomic_status,taxonomic_reference_id,num_taxonomic_sources,collections_only,reference_only,,,,,,,,,,,,
Malus adams,Malus 'Adams',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus adirondack,Malus 'Adirondack',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus alexis,Malus 'Alexis',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus amaszam,Malus 'Amaszam',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus amberina,Malus 'Amberina',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus amerspirzam,Malus 'Amerspirzam',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus amertrizam,Malus 'Amertrizam',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus amsalzam,Malus 'Amsalzam',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus arch mckean,Malus 'Arch McKean',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus arrow,Malus 'Arrow',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus bailears,Malus 'Bailears',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus ballerina,Malus 'Ballerina',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus beeson,Malus 'Beeson',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus beverly,Malus 'Beverly',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus blanche ames,Malus 'Blanche Ames',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus bob white,Malus 'Bob White',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus branzam,Malus 'Branzam',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus burgundy,Malus 'Burgundy',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus camzam,Malus 'Camzam',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus canary,Malus 'Canary',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus candymint sargent,Malus 'Candymint Sargent',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus cardinals robe,Malus 'Cardinal's Robe',NA,desiderata,"Updated 2020-08-04, per ML's notes/Nomenclature Review",cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus centennial,Malus 'Centennial',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus centzam,Malus 'Centzam',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus chrishozam,Malus 'Chrishozam',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus cinzam,Malus 'Cinzam',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus columbia,Malus 'Columbia',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus copper king,Malus 'Copper King',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus coral cascade,Malus 'Coral Cascade',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus coralcole,Malus 'Coralcole',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus cranberry lace,Malus 'Cranberry Lace',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus david,Malus 'David',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus dolgo,Malus 'Dolgo',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus donald wyman,Malus 'Donald Wyman',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus doubloons,Malus 'Doubloons',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus dream pink,Malus 'Dream Pink',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus eline,Malus 'Eline',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus flexilis,Malus 'Flexilis',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,?,?,,,,,,,,,,,,
Malus frettingham victoria,Malus 'Frettingham Victoria',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus golden gem,Malus 'Golden Gem',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus golden spires,Malus 'Golden Spires',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus guinzam,Malus 'Guinzam',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus hargozam,Malus 'Hargozam',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus henningi,Malus 'Henningi',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus henry ross,Malus 'Henry Ross',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus hozam,Malus 'Hozam',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus hub tures,Malus 'Hub Tures',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus huron,Malus 'Huron',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus hyslop,Malus 'Hyslop',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus indian magic,Malus 'Indian Magic',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus indian summer,Malus 'Indian Summer',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus jackii,Malus baccata var. gracilis 'Jackii',NA,desiderata,"The plants we have appear to be of the smaller stature, pendulous branched, obtuse leaf margined end of the spectrum so would probably fit under var. gracilis; Updated 2020-08-04 from ML's notes/Nomenclature Review",cultivar,cultivar,taxon_copy,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus jewelberry,Malus 'Jewelberry',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus jfs kw213mx,Malus 'JFS KW213MX',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus jfs kw214mx,Malus 'JFS KW214MX',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus jfs-kw207,Malus 'JFS-KW207',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus jfs-kw5,Malus 'JFS-KW5',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus joy morton,Malus 'Joy Morton',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus karen,Malus 'Karen',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus kerr,Malus 'Kerr',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus kirk,Malus 'Kirk',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus klehmii,Malus ioensis 'Klehmii',NA,desiderata,NA,cultivar,cultivar,taxon_copy,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus lanzam,Malus 'Lanzam',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus leprechaun,Malus 'Leprechaun',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus liberty,Malus 'Liberty',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus liset,Malus 'Liset',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus little troll,Malus 'Little Troll',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus louisa,Malus 'Louisa',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus lullaby,Malus 'Lullaby',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus luwick,Malus 'Luwick',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus macrocarpa,Malus toringoides 'Macrocarpa',NA,desiderata,NA,cultivar,cultivar,taxon_copy,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
