	Genus		Species/Infraspecies	spEpithet	Cultivar	use	Trade Name	Group	Priority	Region	Distribution	Source	Notes	Last Review	Status
	Quercus		acerifolia	acerifolia		TRUE		Sect. Lobatae	High	NA	"US: AR and possibly expanded. Dry glades, slopes (500-800m)"	Any		2015
	Quercus		acrodonta	acrodonta		TRUE		?	Med	EA	"CN: Valleys and mountains; Gansu, Guizhou, Henan, Hubei, Hunan, Shaanxi, Sichuan, Yunnan (300-2300m)"	"High elevation in Gansu, Shaanxi"		2015
	Quercus		acuta	acuta		TRUE		Sect. Cyclobalanopsis	Low	EA	"JP: Honshu, Shikoku, Kyushu, KO, CN"	Honshu or Korea		2015
	Quercus		acutissima	acutissima		TRUE		Sect. Cerris	Med	EA	"CN: Deciduous forests; below 100x2200 m. Anhui, Fujian, Guangdong,
Guangxi, Guizhou, Hainan, Hebei, Henan, Hubei, Hunan, Jiangsu,
Jiangxi, Liaoning, Shaanxi, Shandong, Shanxi, Sichuan, SE Xizang,
Yunnan, Zhejiang [Bhutan, Cambodia, NE India, Japan, Korea,
Myanmar, Nepal, N Thailand, Vietnam]. "	"Japan, Korea, China (Hebei, Shanxi)"		2015
x	Quercus		alba	alba		TRUE		Sect. Quercus	High	NA	"US: Eastern - Moist to fairly dry, deciduous forests usually on deeper, well-drained loams, also on thin soils on dry upland slopes, sometimes on barrens; 0-1600 m"			2015
x	Quercus		aliena var. acutiserrata	aliena		TRUE		Sect. Quercus	Med	EA	"Mixed mesophytic forests; 100x2700 m. Anhui, Gansu, Guangdong,
Guangxi, Guizhou, Hebei, Henan, Hubei, Hunan, Jiangsu, Jiangxi, SE
Liaoning, Shaanxi, Shandong, Shanxi, Sichuan, Yunnan, Zhejiang
[Japan, Korea]. "			2015
	Quercus		aliena var. aliena	aliena		TRUE		Sect. Quercus	Med	EA	"Mixed mesophytic forests; 100x2000 m. Anhui, Guangdong, Guangxi, Guizhou, Hebei, Henan, Hubei, Hunan, Jiangsu, Jiangxi, Liaoning, Shaanxi, Shandong, Sichuan, Yunnan, Zhejiang [Japan, Korea]."	"Hebei, Japan, Korea"		2015
	Quercus		aliena var. pekinensis	aliena		TRUE		Sect. Quercus	Med	EA	"Mixed mesophytic forests; 200x1900 m. Hebei, Henan, Liaoning,
Shaanxi, Shandong, Shanxi. "	"China (Hebei, Shaanxi, Shanxi)"		2015
	Quercus		arkansana	arkansana		TRUE		Sect. Lobatae	High	NA	"US: AR, LA, AL - Understory tree in well drained, sandy soils (50-150m)"	Any	Diversity or bed with drainage improvements	2015
	Quercus		austrina	austrina		TRUE		Sect. Quercus	Med	NA	"US: AL, FL, GA, MS, NC, SC, - River bottoms, wet forests, flatwoods (0-200m)"	"NC, SC"		2015
	Quercus		baronii	baronii		TRUE		Sect. Quercus	Med	EA	"Mixed mesophytic forests, frequently on limestone; 500x2200 m.
Gansu, Henan, Hubei, Hunan, Shaanxi, Shanxi, Sichuan. "	"Likely have best provenance (Gansu), need more replicates"		2015
	Quercus	x	bebbiana	bebbiana	Taco	FALSE		Sect. Quercus	Med	GD	Garden origin	"Need additional replicates, current plant may be NT"	"Hardy, fast growing"	2015
